,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
171,Bathsheba,20,78,13.22,-59.52,82.4,11.41
172,Castro,71,36,-24.79,-50.01,85.06,10.54
173,Pangnirtung,20,74,66.15,-65.71,33.8,5.82
174,Sitka,90,71,57.05,-135.33,51.8,28.86
175,Khatanga,84,91,71.97,102.5,32.74,15.59
176,Amapá,30,37,1.0,-52.0,95.36,5.17
177,Dumka,39,90,24.27,87.25,79.09,4.52
178,Ellensburg,1,66,47.0,-120.55,55.4,11.41
179,Kavieng,63,79,-2.57,150.8,82.17,10.04
180,Upernavik,80,92,72.79,-56.15,28.67,8.97
181,Piaçabuçu,13,69,-10.41,-36.43,81.84,10.22
182,Lukovetskiy,90,93,64.3,41.92,51.8,8.95
183,Magdalena,40,83,14.2,121.43,82.4,3.36
184,Esim,32,79,4.87,-2.24,79.3,12.82
185,East London,40,67,-33.02,27.91,57.2,12.75
186,Barpeta,75,100,26.32,91.0,82.4,5.1
187,Zhigansk,96,86,66.77,123.37,41.58,5.26
188,Bredasdorp,50,51,-34.53,20.04,59.0,11.41
189,Waycross,40,83,31.21,-82.35,78.01,5.82
190,Coquimbo,0,67,-29.95,-71.34,59.0,11.41
191,Capinópolis,0,18,-18.68,-49.57,98.4,8.21
192,Mitsamiouli,20,65,-11.38,43.28,80.6,20.8
193,Hoi An,75,88,15.88,108.33,80.6,6.93
194,Aripuanã,94,34,-9.17,-60.63,96.8,4.52
195,Saint Paul Harbor,90,87,57.79,-152.41,48.2,27.51
196,Susner,1,80,23.95,76.08,75.34,7.49
197,San Patricio,5,74,19.22,-104.7,86.0,2.33
198,Coahuayana Viejo,40,83,18.73,-103.68,77.0,1.66
199,Dvorichna,82,28,49.85,37.69,68.74,16.8
200,Caravelas,0,54,-17.71,-39.25,82.54,10.07
201,Timbiquí,47,69,2.77,-77.67,84.0,3.76
202,Husavik,90,93,66.04,-17.34,44.6,5.82
203,Mogadishu,53,81,2.04,45.34,78.1,12.59
204,Boguchany,68,91,58.38,97.45,39.85,5.73
205,Dikson,100,79,73.51,80.55,36.72,24.09
206,Bilma,100,10,18.69,12.92,101.21,10.47
207,Laas,5,65,46.62,10.7,50.0,5.82
208,Ancud,68,70,-41.87,-73.82,57.99,1.01
209,Nizwá,2,14,22.93,57.53,90.39,2.51
210,Palana,2,84,59.12,159.97,37.17,14.41
211,Wuwei,100,67,37.93,102.64,61.74,13.24
212,Ribeira Grande,20,78,38.52,-28.7,75.2,5.82
213,Kjøllefjord,0,74,70.95,27.35,37.4,6.93
214,Mikepércs,1,54,47.45,21.63,59.0,5.82
215,Gijang,20,72,35.24,129.21,62.6,3.36
216,Nsanje,45,16,-16.92,35.26,94.87,4.0
217,Boa Vista,40,55,2.82,-60.67,87.8,4.7
218,Palmer,90,73,42.16,-72.33,75.99,6.93
219,Meulaboh,100,81,4.14,96.13,78.64,4.07
220,Puerto Varas,75,76,-41.32,-72.99,51.8,3.36
221,Kunashak,0,81,55.7,61.55,44.6,8.95
222,Boa Viagem,0,26,-5.13,-39.73,96.84,8.75
223,Djibo,26,27,14.1,-1.63,97.34,5.99
224,Province of Trapani,20,68,37.83,12.67,69.8,20.8
225,Rognan,20,53,67.1,15.39,52.0,21.92
226,Iqaluit,75,92,63.75,-68.51,32.0,5.82
227,Mogadouro,3,39,41.34,-6.71,72.0,1.99
228,Mussomeli,74,86,37.58,13.75,64.99,7.0
229,Palamós,98,37,41.85,3.13,61.0,13.56
230,Mount Gambier,0,93,-37.83,140.77,37.4,4.88
231,Along,100,89,28.17,94.77,71.82,1.28
232,Lakatoro,75,94,-16.1,167.42,73.4,7.83
233,Prainha,63,43,-1.8,-53.48,92.43,4.72
234,Vostok,0,85,46.49,135.88,40.06,3.42
235,Yertsevo,0,92,60.8,40.09,53.08,4.85
236,Doha,0,63,25.29,51.53,93.2,4.7
237,Petropavlovsk-Kamchatskiy,75,79,53.05,158.65,35.6,6.71
238,Marevo,13,56,57.31,32.08,58.57,11.99
239,Chumikan,100,93,54.72,135.31,50.77,13.49
240,Yagodnoye,0,88,62.55,149.67,33.1,5.48
241,Jiangyou,100,90,31.77,104.72,62.19,2.57
242,Egvekinot,0,91,66.32,-179.17,27.5,5.99
243,Alofi,97,88,-19.06,-169.92,73.4,12.75
244,Swellendam,91,51,-34.02,20.44,59.0,11.41
245,Prieska,0,23,-29.66,22.75,62.08,14.61
246,Hay River,75,100,60.82,-115.8,46.4,3.36
247,Bukachacha,56,79,52.98,116.92,37.45,4.21
248,Puerto del Rosario,40,54,28.5,-13.86,80.6,27.51
249,Krasnyye Chetai,99,67,55.69,46.14,51.82,7.25
250,Kermanshah,1,11,34.31,47.06,80.6,11.41
251,Roebourne,0,46,-20.78,117.13,70.27,12.1
252,Ginda,0,60,30.69,78.49,59.18,4.54
253,Xining,100,62,36.62,101.77,58.77,5.44
254,São Gabriel da Cachoeira,20,70,-0.13,-67.09,86.0,3.36
255,Sola,12,81,-13.88,167.55,79.61,17.76
256,Äänekoski,14,93,62.69,25.82,60.01,2.24
257,Rotifunk,99,87,8.23,-12.68,78.28,5.19
258,Cairns,40,78,-16.92,145.77,73.4,8.05
259,Asău,0,52,46.43,26.4,64.4,4.7
260,Vilyuysk,100,84,63.76,121.62,40.89,5.57
261,Ōdachō-ōda,20,78,35.18,132.5,63.05,11.43
262,Vrangel',49,77,42.73,133.08,58.78,6.85
263,Kenai,1,76,60.55,-151.26,50.0,24.16
264,Henderson,1,14,36.04,-114.98,84.2,8.05
265,Oruzgan,0,33,32.83,66.0,53.13,2.71
266,Bontang,95,85,0.13,117.5,78.6,8.68
267,Comodoro Rivadavia,0,39,-45.87,-67.5,62.6,6.93
268,Narsaq,20,38,60.92,-46.05,41.0,3.36
269,Pisco,0,72,-13.7,-76.22,68.0,10.29
270,Hobyo,100,86,5.35,48.53,76.6,18.7
271,Kinablangan,73,76,7.69,126.55,80.02,3.76
272,Zhicheng,98,76,30.3,111.5,69.3,1.97
273,Bundaberg,0,58,-24.85,152.35,57.2,8.05
274,Abbeville,100,79,50.1,1.83,57.0,19.93
275,Mehamn,1,74,71.04,27.85,37.4,6.93
276,Jūybār,90,64,36.64,52.91,75.2,4.7
277,Sørland,0,71,67.67,12.69,50.0,18.34
278,Tiksi,100,89,71.69,128.87,41.52,5.73
279,Masasi,75,56,-10.72,38.8,78.28,9.01
280,Amarante do Maranhão,43,32,-5.57,-46.74,95.59,6.93
281,Saladoblanco,35,45,1.99,-76.04,79.72,4.32
282,Stromness,20,76,58.97,-3.3,48.2,5.82
283,Mayo,90,100,38.89,-76.51,73.0,3.36
284,Çermik,0,33,38.14,39.45,77.0,1.12
285,Debre Sīna,61,68,9.85,39.77,58.39,2.8
286,New Norfolk,11,72,-42.78,147.06,46.99,1.99
287,George Town,40,83,5.41,100.34,82.4,3.02
288,Udachny,90,77,66.42,112.4,33.8,8.95
289,Eganville,90,68,45.53,-77.1,71.6,10.29
290,Moa,17,64,20.66,-74.94,86.07,9.86
291,Cooma,0,86,-36.23,149.13,26.6,1.3
292,Aromashevo,5,90,56.86,68.64,49.21,6.64
293,Itoman,75,69,26.12,127.67,78.8,6.93
294,Diu,4,76,20.71,70.98,78.98,6.78
295,Kasempa,85,16,-13.46,25.83,86.43,3.18
296,Vestmanna,100,87,62.16,-7.17,46.4,17.22
297,Tiznit Province,0,42,29.58,-9.5,78.03,7.52
298,Leningradskiy,0,90,69.38,178.42,26.83,6.87
299,Cherskiy,100,80,68.75,161.3,36.3,17.85
300,Bafatá,8,62,12.17,-14.75,89.33,2.28
301,Porto Velho,40,55,-8.76,-63.9,89.6,5.82
302,Okato,93,84,-39.2,173.88,48.99,10.0
303,Tālcher,0,65,20.95,85.22,79.88,2.53
304,Lagoa,0,86,39.05,-27.98,71.19,7.38
305,Pevek,67,92,69.7,170.31,32.92,20.74
306,Constitución,0,57,-35.33,-72.42,59.49,10.54
307,Ostrovnoy,60,77,68.05,39.51,41.41,5.57
308,San Ramon,1,56,37.78,-121.98,73.0,4.74
309,Ekuvukeni,70,73,-28.47,30.16,57.18,8.75
310,Sennar,1,52,13.57,33.57,88.25,2.35
311,Port-Gentil,75,65,-0.72,8.78,82.4,14.99
312,Demidov,0,61,55.27,31.52,57.74,11.56
313,Araceli,99,74,10.55,119.99,83.84,6.24
314,Port Augusta,42,50,-32.5,137.77,57.2,8.05
315,Sibolga,100,72,1.74,98.78,77.34,1.54
316,Taber,20,46,49.82,-112.15,50.0,9.17
317,Wanning,100,86,18.8,110.4,81.05,2.08
318,Kérouané,52,67,9.27,-9.02,82.87,1.12
319,Azul,100,95,-36.78,-59.86,53.01,5.99
320,Isangel,20,94,-19.55,169.27,71.6,5.64
321,Ulety,0,82,51.36,112.48,36.43,9.55
322,Oktyabr'skiy,51,68,54.48,53.47,53.22,2.33
323,Coxim,0,19,-18.51,-54.76,104.99,12.95
324,Faanui,26,78,-16.48,-151.75,78.64,14.81
325,Southbridge,76,77,42.08,-72.03,73.99,1.01
326,Emerald,0,26,-23.53,148.17,60.8,5.82
327,Joaçaba,100,35,-27.18,-51.5,87.76,7.9
328,Sicuani,0,30,-14.27,-71.23,61.21,4.81
329,Soyo,75,69,-6.13,12.37,80.6,6.93
330,Montepuez,100,48,-13.13,39.0,80.71,7.43
331,Cody,90,65,44.53,-109.06,46.99,9.17
332,Kisumu,46,71,-0.1,34.76,74.62,2.37
333,Ambrolauri,5,77,42.52,43.16,69.8,1.12
334,Marawi,96,90,8.0,124.29,77.0,5.01
335,Moranbah,0,86,-22.0,148.05,63.59,8.66
336,Port Lincoln,52,80,-34.73,135.87,55.85,15.03
337,Codajás,99,47,-3.84,-62.06,91.72,1.83
338,Anloga,20,83,5.79,0.9,80.6,13.87
339,Jasper,75,65,37.2,-94.35,77.0,12.75
340,Saryg-Sep,0,86,51.5,95.6,34.2,3.0
341,Langsa,100,87,4.47,97.97,77.25,3.02
342,Kim,20,44,40.21,70.47,60.8,6.71
343,Sirte,1,76,31.21,16.59,79.45,21.56
344,Yumen,100,32,40.28,97.2,55.36,8.97
345,Shanghai,100,78,31.22,121.46,73.4,4.47
346,Oranjemund,0,66,-28.55,16.43,57.9,14.5
347,Itarema,28,54,-2.92,-39.92,86.25,19.37
348,Shingū,0,77,33.73,135.98,62.46,7.45
349,Saint Anthony,1,58,45.02,-93.22,59.0,14.99
350,Grindavik,75,93,63.84,-22.43,46.4,13.87
351,Oktyabr'skoye,75,82,43.06,44.74,64.4,8.95
352,Saint George,1,27,37.1,-113.58,75.2,4.7
353,Harrismith,0,28,-28.27,29.13,57.9,6.89
354,Mabaruma,79,79,8.2,-59.78,84.45,2.77
355,Marmato,68,53,5.48,-75.59,80.62,2.89
356,Zwedru,93,89,6.07,-8.13,76.89,3.76
357,Krasnosel'kup,100,93,65.7,82.47,50.2,20.51
358,Paamiut,42,77,61.99,-49.67,38.1,16.98
359,Ginir,79,78,7.13,40.7,63.09,4.99
360,La Unión,21,46,-5.4,-80.75,78.48,10.33
361,La Ciotat,95,56,43.17,5.6,61.0,7.0
362,Najrān,45,15,17.49,44.13,87.8,6.93
363,Kloulklubed,75,94,7.04,134.26,77.0,2.24
364,Puerto Nariño,40,66,-3.77,-70.38,89.6,2.24
365,Polis,40,61,35.04,32.43,80.6,9.17
366,Praia da Vitória,20,69,38.73,-27.07,77.0,8.66
367,Santarém,20,70,-2.44,-54.71,87.8,4.7
368,Mpika,23,17,-11.83,31.45,78.12,6.53
369,Sur,34,53,22.57,59.53,83.32,3.96
370,Beisfjord,0,42,68.38,17.6,48.2,18.34
371,Ust-Kuyga,21,95,70.02,135.6,32.72,3.65
372,Bushehr,0,62,28.97,50.84,89.6,4.7
373,Omsukchan,0,85,62.53,155.8,34.02,8.05
374,Predivinsk,100,85,57.07,93.44,43.83,3.78
375,Uray,28,91,60.12,64.78,52.05,7.05
376,Nānākuli,1,78,21.39,-158.15,77.0,6.08
377,Dwārka,40,71,22.24,68.97,82.18,9.31
378,Dārāb,0,17,28.75,54.54,78.01,2.95
379,Rafsanjān,61,16,30.41,55.99,76.39,6.13
380,Eston,20,53,51.15,-108.75,52.0,17.22
381,Kiryat Gat,0,72,31.61,34.76,84.0,13.94
382,Sawākin,0,64,19.11,37.33,88.25,9.24
383,Dolisie,74,64,-4.2,12.67,79.56,10.22
384,Muisne,75,78,0.6,-80.03,82.4,6.93
385,Tpig,100,79,41.78,47.59,51.44,0.85
386,Batagay,100,92,67.63,134.63,38.37,2.57
387,Andros Town,40,70,24.7,-77.77,86.0,4.7
388,São Félix do Xingu,4,31,-6.64,-51.99,100.04,2.73
389,Los Llanos de Aridane,20,61,28.66,-17.92,77.0,17.22
390,Cartagena,90,79,10.4,-75.51,84.2,14.99
391,Aykhal,90,87,66.0,111.5,33.8,8.95
392,Quzhou,40,88,28.96,118.87,64.45,0.36
393,Mindelo,75,66,16.89,-24.98,89.6,19.46
394,Shubarshi,0,41,48.59,57.19,53.51,6.73
395,Ayan,46,92,56.45,138.17,50.88,4.59
396,Aklavik,75,97,68.22,-135.01,32.0,2.24
397,Malinyi,56,40,-8.93,36.13,86.4,4.56
398,Antalaha,52,86,-14.9,50.28,71.74,6.04
399,Taywarah,0,53,33.35,64.42,42.26,4.54
400,Valparaíso,0,62,-33.04,-71.63,59.0,5.82
401,Plouzané,20,66,48.38,-4.62,57.2,12.75
402,Makakilo City,1,78,21.35,-158.09,77.0,6.17
403,Nerang,12,72,-27.98,153.33,57.0,6.51
404,Katobu,63,88,-4.94,122.53,73.94,3.69
405,Gornopravdinsk,44,95,60.05,69.9,51.06,6.06
406,Wajima,72,76,37.4,136.9,67.03,18.39
407,Luena,82,21,-11.78,19.92,86.74,2.33
408,Draguignan,60,39,43.53,6.47,64.4,19.46
409,Little Rock,20,69,34.75,-92.29,77.0,9.17
410,Coruripe,63,68,-10.13,-36.18,82.15,10.71
411,Pokhara,1,70,28.23,83.98,69.75,3.33
412,North Bend,1,93,43.41,-124.22,57.2,7.81
413,Charters Towers,2,91,-20.1,146.27,65.77,9.1
414,Shahrud,37,61,36.42,54.98,64.62,14.09
415,Matagami,90,100,49.75,-77.63,62.6,11.41
416,Tripoli,1,58,32.88,13.19,81.59,12.08
417,Mâncio Lima,20,56,-7.61,-72.9,93.2,3.36
418,Port Hardy,90,93,50.7,-127.42,51.8,23.04
419,Plettenberg Bay,18,64,-34.05,23.37,55.29,7.58
420,Ploemeur,0,51,47.73,-3.43,63.0,14.99
421,Sungai Raya,100,81,0.7,108.9,78.37,3.56
422,Vanimo,38,83,-2.67,141.3,78.62,3.76
423,Vélingara,19,63,13.15,-14.12,89.22,2.19
424,Champerico,75,70,14.3,-91.92,84.2,6.93
425,Mastic Beach,90,73,40.77,-72.85,75.99,4.7
426,Rio Verde de Mato Grosso,3,22,-18.92,-54.84,101.75,13.11
427,Fukuechō,0,75,32.69,128.84,70.3,27.31
428,Berlevåg,0,69,70.86,29.09,37.4,5.82
429,Beringovskiy,6,86,63.05,179.32,33.62,11.18
430,Wukari,81,79,7.85,9.78,80.17,6.78
431,Penicuik,80,62,55.83,-3.22,53.6,5.82
432,Naryan-Mar,15,80,67.67,53.09,40.08,6.85
433,Inta,48,78,66.03,60.17,42.76,8.46
434,Sumbe,75,79,-11.21,13.84,73.76,10.51
435,Romanovo,100,58,52.62,81.23,46.92,5.75
436,Dubbo,0,93,-32.25,148.62,39.2,10.29
437,Lashma,90,61,54.93,41.14,53.02,7.63
438,Olafsvik,100,80,64.89,-23.71,45.79,7.29
439,Kifrī,0,17,34.7,44.97,88.05,12.17
440,Belmonte,40,61,-15.86,-38.88,80.6,16.11
441,Oussouye,20,74,12.48,-16.55,91.4,6.93
442,Puerto Asís,40,62,0.51,-76.5,87.8,2.24
443,Broome,90,88,42.25,-75.83,73.0,9.17
444,Ankang,100,79,32.68,109.02,66.34,1.19
445,Mount Darwin,37,16,-16.77,31.58,87.12,5.68
446,Sisimiut,99,83,66.94,-53.67,35.6,11.7
447,Northam,0,77,51.03,-4.22,59.0,8.99
448,Neuquén,0,36,-38.95,-68.06,62.6,5.82
449,Rybinsk,3,69,58.04,38.84,52.57,6.85
450,Stornoway,20,66,58.21,-6.39,51.8,16.11
451,Camargo,0,26,27.67,-105.17,82.92,11.14
452,Macheng,7,81,31.18,115.03,66.83,2.08
453,Bariloche,15,49,-41.15,-71.31,48.2,13.87
454,Tomatlán,1,68,19.93,-105.25,87.19,1.36
455,Tura,100,97,25.52,90.22,73.9,3.0
456,Honiara,75,94,-9.43,159.95,75.2,4.7
457,Bereket,90,24,39.24,55.52,65.19,11.72
458,Namatanai,99,81,-3.67,152.43,79.52,3.87
459,Colac,0,93,-38.33,143.58,39.0,0.98
460,Martapura,90,100,-3.42,114.85,73.4,4.7
461,Río Gallegos,100,34,-51.62,-69.22,53.6,13.87
462,Kirakira,100,82,-10.45,161.92,79.39,12.64
463,Airai,74,77,-8.93,125.41,60.42,3.04
464,Playa Vicente,69,75,17.83,-95.82,82.89,3.67
465,Poplar Bluff,90,78,36.76,-90.39,71.6,5.82
466,Zhangye,97,41,38.93,100.45,58.46,8.03
467,Viramgam,75,79,23.12,72.05,84.2,4.7
468,Fairbanks,1,93,64.84,-147.72,37.99,8.05
469,Pangai,10,75,-19.8,-174.35,74.75,14.09
470,Bengkulu,67,85,-3.8,102.27,76.39,5.1
471,Fort Frances,90,71,48.6,-93.4,55.4,11.41
472,Seremban,20,88,2.73,101.94,78.8,2.17
473,Kruisfontein,1,60,-34.0,24.73,57.0,5.01
474,Labuhan,64,76,-6.88,112.21,79.47,12.01
475,Krabi,75,100,8.07,98.91,75.2,3.36
476,Avera,90,63,33.19,-82.53,75.99,5.82
477,Barra do Corda,44,27,-5.5,-45.25,100.65,6.22
478,Newcastle,90,76,-32.93,151.78,55.99,2.24
